,size,from_Concordia,price
214,1.5,6.0,1200.0
215,4.5,2.0,2390.0
216,4.5,5.0,1195.0
217,3.5,1.0,1695.0
218,4.5,1.0,2150.0
219,1.5,1.0,1655.0
220,1.5,2.0,1820.0
221,5.5,2.0,3200.0
222,5.5,2.0,3450.0
223,3.5,2.0,1605.0
224,1.5,2.0,1275.0
225,4.5,1.0,1975.0
226,5.5,1.0,4820.0
227,1.5,4.0,850.0
228,3.5,2.0,1550.0
229,1.5,1.0,1135.0
230,1.5,8.0,720.0
231,5.5,9.0,1700.0
232,7.5,4.0,2900.0
233,1.5,9.0,740.0
234,6.5,3.0,3500.0
235,3.5,6.0,1350.0
236,4.5,9.0,1550.0
237,1.5,4.0,950.0
238,4.5,7.0,2000.0
239,5.5,10.0,1400.0
240,4.5,1.0,2639.0
241,3.5,1.0,1765.0
242,1.5,1.0,1538.0
243,3.5,3.0,1700.0
244,5.5,2.0,3442.0
245,3.5,2.0,1715.0
246,4.5,2.0,2415.0
247,1.5,2.0,1505.0
248,5.5,1.0,5025.0
249,3.5,1.0,1765.0
250,4.5,1.0,2375.0
251,5.5,5.0,3500.0
252,4.5,5.0,2000.0
253,3.5,5.0,1385.0
254,1.5,5.0,1114.0
255,3.5,2.0,1650.0
256,5.5,1.0,4820.0
257,4.5,1.0,2230.0
258,3.5,1.0,1875.0
259,1.5,6.0,1200.0
260,4.5,2.0,2390.0
261,4.5,5.0,1195.0
262,3.5,1.0,1695.0
263,4.5,1.0,2150.0
264,1.5,1.0,1655.0
265,1.5,2.0,1820.0
266,5.5,2.0,3200.0
267,5.5,2.0,3450.0
268,3.5,2.0,1605.0
269,1.5,2.0,1275.0
270,4.5,2.0,1750.0
271,4.5,3.0,2086.0
272,3.5,8.0,1350.0
273,3.5,2.0,1740.0
274,4.5,4.0,2300.0
275,1.5,8.0,720.0
276,5.5,9.0,1700.0
277,7.5,4.0,2900.0
278,1.5,9.0,740.0
279,6.5,3.0,3500.0
280,3.5,6.0,1350.0
281,4.5,9.0,1550.0
282,1.5,4.0,950.0
283,4.5,7.0,2000.0
284,5.5,10.0,1400.0
285,4.5,1.0,2639.0
286,3.5,1.0,1765.0
287,1.5,1.0,1538.0
288,3.5,3.0,1700.0
289,5.5,2.0,3442.0
290,3.5,2.0,1715.0
291,4.5,2.0,2415.0
292,1.5,2.0,1505.0
293,5.5,1.0,5025.0
294,3.5,1.0,1765.0
295,4.5,1.0,2375.0
296,5.5,5.0,3500.0
297,4.5,5.0,2000.0
298,3.5,5.0,1385.0
299,1.5,5.0,1114.0
300,3.5,2.0,1650.0
301,5.5,1.0,4820.0
302,4.5,1.0,2230.0
303,3.5,1.0,1875.0
304,1.5,6.0,1200.0
305,4.5,2.0,2390.0
306,4.5,5.0,1195.0
307,3.5,1.0,1695.0
308,4.5,1.0,2150.0
309,1.5,1.0,1655.0
310,1.5,2.0,1820.0
311,5.5,2.0,3200.0
312,5.5,2.0,3450.0
313,3.5,2.0,1605.0
314,1.5,2.0,1275.0
315,5.5,8.0,2600.0
316,4.5,9.0,2200.0
317,3.5,1.0,1695.0
318,3.5,7.0,1390.0
319,4.5,4.0,2600.0
320,1.5,8.0,720.0
321,5.5,9.0,1700.0
322,7.5,4.0,2900.0
323,1.5,9.0,740.0
324,6.5,3.0,3500.0
325,3.5,6.0,1350.0
326,4.5,9.0,1550.0
327,1.5,4.0,950.0
328,4.5,7.0,2000.0
329,5.5,10.0,1400.0
330,4.5,1.0,2639.0
331,3.5,1.0,1765.0
332,1.5,1.0,1538.0
333,3.5,3.0,1700.0
334,5.5,2.0,3442.0
335,3.5,2.0,1715.0
336,4.5,2.0,2415.0
337,1.5,2.0,1505.0
338,5.5,1.0,5025.0
339,3.5,1.0,1765.0
340,4.5,1.0,2375.0
341,5.5,5.0,3500.0
342,4.5,5.0,2000.0
343,3.5,5.0,1385.0
344,1.5,5.0,1114.0
345,3.5,2.0,1650.0
346,5.5,1.0,4820.0
347,4.5,1.0,2230.0
348,3.5,1.0,1875.0
349,1.5,6.0,1200.0
350,4.5,2.0,2390.0
351,4.5,5.0,1195.0
352,3.5,1.0,1695.0
353,4.5,1.0,2150.0
354,1.5,1.0,1655.0
355,1.5,2.0,1820.0
356,5.5,2.0,3200.0
357,5.5,2.0,3450.0
358,3.5,2.0,1605.0
359,1.5,2.0,1275.0
360,4.5,7.0,2225.0
361,4.5,4.0,2300.0
362,1.5,4.0,850.0
363,5.5,7.0,1490.0
364,4.5,1.0,1900.0
365,1.5,8.0,720.0
366,5.5,9.0,1700.0
367,7.5,4.0,2900.0
368,1.5,9.0,740.0
369,6.5,3.0,3500.0
370,3.5,6.0,1350.0
371,4.5,9.0,1550.0
372,1.5,4.0,950.0
373,4.5,7.0,2000.0
374,5.5,10.0,1400.0
375,4.5,1.0,2639.0
376,3.5,1.0,1765.0
377,1.5,1.0,1538.0
378,3.5,3.0,1700.0
379,5.5,2.0,3442.0
380,3.5,2.0,1715.0
381,4.5,2.0,2415.0
382,1.5,2.0,1505.0
